##### TOWN SIGN #####
STR_TOWNSIGN_GROWTHRATE     :Wachstum : {NUM} {STRING}
STR_ECONOMY_FIRS2_TEMPERATE     :FIRS 2 Temperate
STR_ECONOMY_FIRS2_ARCTIC        :FIRS 2 Arctic
STR_ECONOMY_FIRS2_TROPIC        :FIRS 2 Tropic
STR_ECONOMY_FIRS2_IAHC          :FIRS 2 In einem heißen Land
STR_ECONOMY_FIRS2_HOD           :FIRS 2 Herz der Finsternis
STR_ECONOMY_YETI                :YETI
STR_ECONOMY_FIRS3_TEMPERATE     :FIRS 3 Temperate
STR_ECONOMY_FIRS3_ARCTIC        :FIRS 3 Arctic
STR_ECONOMY_FIRS3_TROPIC        :FIRS 3 Tropic
STR_ECONOMY_FIRS3_STEELTOWN     :FIRS 3 Stahlstadt
STR_ECONOMY_FIRS3_IAHC          :FIRS 3 In einem heißen Land
STR_ECONOMY_FIRS3_EXTREME       :FIRS 3 Extreme
STR_ECONOMY_NAIS_NA             :NAIS North America
STR_ECONOMY_ITI                 :Improved Town Industries
STR_ECONOMY_FIRS4_TEMPERATE     :FIRS 4 Temperate
STR_ECONOMY_FIRS4_ARCTIC        :FIRS 4 Arctic
STR_ECONOMY_FIRS4_TROPIC        :FIRS 4 Tropic
STR_ECONOMY_FIRS4_STEELTOWN     :FIRS 4 Stahlstadt
STR_ECONOMY_FIRS4_IAHC          :FIRS 4 In einem heißen Land
STR_ECONOMY_XIS_LOT             :XIS The Lot
STR_ECONOMY_OTIS                :OTIS
STR_ECONOMY_IOTC                :Industries of the Caribbean
STR_ECONOMY_LUMBERJACK          :Lumberjack Industries
STR_ECOMONY_WRBI                :Wannaroo Basic Industries
STR_ECONOMY_ITI2                :Improved Town Industries
STR_ECONOMY_REAL                :Real Industries

##### ETERNAL LOVE #####
STR_ETERNAL_LOVE_OUTSTANDING    :hervorragend
STR_ETERNAL_LOVE_GOOD           :gut
STR_ETERNAL_LOVE_POOR           :schwach
