##### TOWN SIGN #####
STR_TOWNSIGN_GROWTHRATE     :每 {NUM} {STRING}成长一次
STR_SB_WARNING_TITLE     :警告
STR_SB_WARNING_1         :地图上的城镇数量超出了游戏脚本可以保存的数量。当前的城镇数量为 {SILVER}{NUM}{BLACK}，最大数量为{SILVER}{NUM}{BLACK}。{RED}已禁用游戏脚本。{BLACK}
STR_SB_WARNING_2         :货物列表初始化失败。存在未知的工业 NewGRF 导致无法自动创建货物列表。{RED}已禁用游戏脚本。{BLACK}
STR_SB_WARNING_3         :货物列表初始化失败。存在工业随机化选项导致无法自动创建工业类别。{RED}已禁用游戏脚本。{BLACK}
STR_SB_WARNING_4         :必须将参数{ORANGE}环境->城镇->城镇增长速度（Environment->Towns->Town groth speed）{BLACK}设置为其他选项。{RED}已禁用游戏脚本。{BLACK}
STR_SB_WELCOME_TITLE     :新发展（Renewed Village Growth）{NUM}.{NUM}
STR_SB_WELCOME_DESC      :{SILVER}  新发展（RVG）{BLACK}游戏脚本{ORANGE}改变了 OpenTTD 中城镇的发展模式{BLACK}且为每个城镇增加了货物需求。更多信息请参阅{ORANGE}说明文件（README）{BLACK}。
STR_SB_WELCOME_CARGO     :  当前选择的经济系统“{SILVER}{STRING}{BLACK}”包括{SILVER} {NUM} 种货物类别{BLACK}。为满足对于某类别的需求，需将任何属于该类别的货物运输至{ORANGE}接受该类别之城镇附近的车站{BLACK}。若满足需求的百分比高于{SILVER}{NUM}%{BLACK}将{ORANGE}加速城镇增长{BLACK}。有关货物类别的更多信息，请参阅{ORANGE}货物类别说明书页{BLACK}。
STR_SB_WELCOME_LIMIT_GROWTH         :{SILVER}  若未运输城镇的{CARGO_LIST}{ORANGE}则城镇发展将暂停{BLACK}。须运输至少 {SILVER}{NUM}%{BLACK} 的货物重启{ORANGE}城镇发展{BLACK}。{STRING}
STR_SB_WELCOME_LIMIT_GROWTH_DELAY   :若此未满足此需求则将在 {SILVER}{NUM} 个月后暂停城镇发展。
STR_SB_WELCOME_STATISTICS           :  为某城镇提供大部分货物的公司将成为该城镇的{ORANGE}贡献者{BLACK}。该城镇的最大人口之上的每个新人口将计入公司{ORANGE}贡献点{BLACK}。请参阅{ORANGE}目标清单{BLACK}中的贡献点和统计信息。
STR_SB_WELCOME_ETERNAL_LOVE         :{SILVER}  永恒之爱（Eternal Love）{BLACK}将更改公司的{ORANGE}城镇评级{BLACK}为{SILVER}{STRING}{BLACK}，每月一次。
STR_SB_WELCOME_END                  :  游戏愉快！

##### CUSTOM STORY BOOK #####
STR_SB_CUSTOM_WELCOME       :Please find the server rules in the {ORANGE}{STRING} story book page{BLACK}.
STR_SB_CUSTOM_TITLE         :Server rules
# STR_SB_CUSTOM_1             :Rule 1
# STR_SB_CUSTOM_2             :Rule 2
STR_SB_CUSTOM_END           :
##### GOAL #####
STR_STATISTICS_GROWTH_POINTS    :{STRING}{COMPANY}{BLACK} 贡献点{ORANGE}
STR_STATISTICS_BIGGEST_TOWN     :{BLACK}最大的城镇：{SILVER}{TOWN}{ORANGE}
STR_STATISTICS_GROWTH_TOWN      :{BLACK}过去几天成长最快的城镇：{SILVER}{TOWN}{ORANGE}
STR_STATISTICS_AVERAGE_CATEGORY :{BLACK}平均城镇类别{ORANGE}
STR_STATISTICS_NUM_TOWNS        :{BLACK}已贡献的城镇数量{ORANGE}
STR_STATISTICS_NOT_GROWING      :{BLACK}未成长的城镇数量{ORANGE}

##### TOWNBOX #####
STR_TOWNBOX_CONTRIBUTOR         :最大人口：{SILVER}{NUM}{BLACK}{}※{SILVER}{COMPANY}{BLACK}
STR_TOWNBOX_NO_CONTRIBUTOR      :最大人口：{SILVER}{NUM}{BLACK}{STRING}

STR_TOWNBOX_CATEGORY            :货物信息：可用/需要{STRING}
STR_TOWNBOX_CATEGORY_STOP       :运出城镇的数量不足：{}※{RED}{CARGO_LIST}{BLACK}{}货物信息：可用/需要
STR_TOWNBOX_CATEGORY_LOW        :交通基础设施不足：{}※{SILVER}{CARGO_LIST}{BLACK}{}货物信息：可用/需要
STR_TOWNBOX_CATEGORY_DELAYED    :运出城镇的数量不足：{}※{GOLD}{CARGO_LIST}{BLACK}{}货物信息：可用/需要
STR_TOWNBOX_CARGO               :货物类别：{STRING}
STR_TOWNBOX_CARGO_STOP          :运出城镇的数量不足：{}※{RED}{CARGO_LIST}{BLACK}{}货物类别：
STR_TOWNBOX_CARGO_LOW           :交通基础设施不足：{}※{SILVER}{CARGO_LIST}{BLACK}{}货物类别：
STR_TOWNBOX_CARGO_DELAYED       :运出城镇的数量不足：{}※{GOLD}{CARGO_LIST}{BLACK}{}货物类别：
STR_TOWNBOX_NOGROWTH            :从该镇运输{SILVER}{CARGO_LIST}{BLACK}使其成长

STR_TOWNBOX_CATEGORY_0          :{STRING}{}{STRING}{}※{LTBLUE}{STRING}{BLACK}：{SILVER}{STRING}{BLACK}
STR_TOWNBOX_CATEGORY_1          :{STRING}{}{STRING}{}※{LTBLUE}{STRING}{BLACK}：{SILVER}{STRING}{BLACK}{}※{GREEN}{STRING}{BLACK}：{SILVER}{STRING}{BLACK}
STR_TOWNBOX_CATEGORY_2          :{STRING}{}{STRING}{}※{LTBLUE}{STRING}{BLACK}：{SILVER}{STRING}{BLACK}{}※{GREEN}{STRING}{BLACK}：{SILVER}{STRING}{BLACK}{}※{RED}{STRING}{BLACK}：{SILVER}{STRING}{BLACK}
STR_TOWNBOX_CATEGORY_3          :{STRING}{}{STRING}{}※{LTBLUE}{STRING}{BLACK}：{SILVER}{STRING}{BLACK}{}※{GREEN}{STRING}{BLACK}：{SILVER}{STRING}{BLACK}{}※{RED}{STRING}{BLACK}：{SILVER}{STRING}{BLACK}{}※{BROWN}{STRING}{BLACK}：{SILVER}{STRING}{BLACK}
STR_TOWNBOX_CATEGORY_4          :{STRING}{}{STRING}{}※{LTBLUE}{STRING}{BLACK}：{SILVER}{STRING}{BLACK}{}※{GREEN}{STRING}{BLACK}：{SILVER}{STRING}{BLACK}{}※{RED}{STRING}{BLACK}：{SILVER}{STRING}{BLACK}{}※{BROWN}{STRING}{BLACK}：{SILVER}{STRING}{BLACK}{}※{PURPLE}{STRING}{BLACK}：{SILVER}{STRING}{BLACK}
STR_TOWNBOX_CATEGORY_5          :{STRING}{}{STRING}{}※{LTBLUE}{STRING}{BLACK}：{SILVER}{STRING}{BLACK}{}※{GREEN}{STRING}{BLACK}：{SILVER}{STRING}{BLACK}{}※{RED}{STRING}{BLACK}：{SILVER}{STRING}{BLACK}{}※{BROWN}{STRING}{BLACK}：{SILVER}{STRING}{BLACK}{}※{PURPLE}{STRING}{BLACK}：{SILVER}{STRING}{BLACK}{}※{YELLOW}{STRING}{BLACK}：{SILVER}{STRING}{BLACK}

STR_TOWNBOX_CARGO_0             :{STRING}{}{STRING}{}※{LTBLUE}{STRING}{BLACK}：{SILVER}{CARGO_LIST}{BLACK}
STR_TOWNBOX_CARGO_1             :{STRING}{}{STRING}{}※{LTBLUE}{STRING}{BLACK}：{SILVER}{CARGO_LIST}{BLACK}{}※{GREEN}{STRING}{BLACK}：{SILVER}{CARGO_LIST}{BLACK}
STR_TOWNBOX_CARGO_2             :{STRING}{}{STRING}{}※{LTBLUE}{STRING}{BLACK}：{SILVER}{CARGO_LIST}{BLACK}{}※{GREEN}{STRING}{BLACK}：{SILVER}{CARGO_LIST}{BLACK}{}※{RED}{STRING}{BLACK}：{SILVER}{CARGO_LIST}{BLACK}
STR_TOWNBOX_CARGO_3             :{STRING}{}{STRING}{}※{LTBLUE}{STRING}{BLACK}：{SILVER}{CARGO_LIST}{BLACK}{}※{GREEN}{STRING}{BLACK}：{SILVER}{CARGO_LIST}{BLACK}{}※{RED}{STRING}{BLACK}：{SILVER}{CARGO_LIST}{BLACK}{}※{BROWN}{STRING}{BLACK}：{SILVER}{CARGO_LIST}{BLACK}
STR_TOWNBOX_CARGO_4             :{STRING}{}{STRING}{}※{LTBLUE}{STRING}{BLACK}：{SILVER}{CARGO_LIST}{BLACK}{}※{GREEN}{STRING}{BLACK}：{SILVER}{CARGO_LIST}{BLACK}{}※{RED}{STRING}{BLACK}：{SILVER}{CARGO_LIST}{BLACK}{}※{BROWN}{STRING}{BLACK}：{SILVER}{CARGO_LIST}{BLACK}{}※{PURPLE}{STRING}{BLACK}：{SILVER}{CARGO_LIST}{BLACK}
STR_TOWNBOX_CARGO_5             :{STRING}{}{STRING}{}※{LTBLUE}{STRING}{BLACK}：{SILVER}{CARGO_LIST}{BLACK}{}※{GREEN}{STRING}{BLACK}：{SILVER}{CARGO_LIST}{BLACK}{}※{RED}{STRING}{BLACK}：{SILVER}{CARGO_LIST}{BLACK}{}※{BROWN}{STRING}{BLACK}：{SILVER}{CARGO_LIST}{BLACK}{}※{PURPLE}{STRING}{BLACK}：{SILVER}{CARGO_LIST}{BLACK}{}※{YELLOW}{STRING}{BLACK}：{SILVER}{CARGO_LIST}{BLACK}

STR_TOWNBOX_COMBINED_0          :{STRING}{}{STRING}{}※{LTBLUE}{CARGO_LIST}{BLACK}：{SILVER}{STRING}{BLACK}
STR_TOWNBOX_COMBINED_1          :{STRING}{}{STRING}{}※{LTBLUE}{CARGO_LIST}{BLACK}：{SILVER}{STRING}{BLACK}{}※{GREEN}{CARGO_LIST}{BLACK}：{SILVER}{STRING}{BLACK}
STR_TOWNBOX_COMBINED_2          :{STRING}{}{STRING}{}※{LTBLUE}{CARGO_LIST}{BLACK}：{SILVER}{STRING}{BLACK}{}※{GREEN}{CARGO_LIST}{BLACK}：{SILVER}{STRING}{BLACK}{}※{RED}{CARGO_LIST}{BLACK}：{SILVER}{STRING}{BLACK}
STR_TOWNBOX_COMBINED_3          :{STRING}{}{STRING}{}※{LTBLUE}{CARGO_LIST}{BLACK}：{SILVER}{STRING}{BLACK}{}※{GREEN}{CARGO_LIST}{BLACK}：{SILVER}{STRING}{BLACK}{}※{RED}{CARGO_LIST}{BLACK}：{SILVER}{STRING}{BLACK}{}※{BROWN}{CARGO_LIST}{BLACK}：{SILVER}{STRING}{BLACK}
STR_TOWNBOX_COMBINED_4          :{STRING}{}{STRING}{}※{LTBLUE}{CARGO_LIST}{BLACK}：{SILVER}{STRING}{BLACK}{}※{GREEN}{CARGO_LIST}{BLACK}：{SILVER}{STRING}{BLACK}{}※{RED}{CARGO_LIST}{BLACK}：{SILVER}{STRING}{BLACK}{}※{BROWN}{CARGO_LIST}{BLACK}：{SILVER}{STRING}{BLACK}{}※{PURPLE}{CARGO_LIST}{BLACK}：{SILVER}{STRING}{BLACK}
STR_TOWNBOX_COMBINED_5          :{STRING}{}{STRING}{}※{LTBLUE}{CARGO_LIST}{BLACK}：{SILVER}{STRING}{BLACK}{}※{GREEN}{CARGO_LIST}{BLACK}：{SILVER}{STRING}{BLACK}{}※{RED}{CARGO_LIST}{BLACK}：{SILVER}{STRING}{BLACK}{}※{BROWN}{CARGO_LIST}{BLACK}：{SILVER}{STRING}{BLACK}{}※{PURPLE}{CARGO_LIST}{BLACK}：{SILVER}{STRING}{BLACK}{}※{YELLOW}{CARGO_LIST}{BLACK}：{SILVER}{STRING}{BLACK}

##### ECONOMIES #####
STR_ECONOMY_NONE                :
STR_ECONOMY_BASESET_TEMPERATE   :原版温带
STR_ECONOMY_BASESET_ARCTIC      :原版寒带
STR_ECONOMY_BASESET_TROPICAL    :原版热带
STR_ECONOMY_BASESET_TOYLAND     :原版奇幻
STR_ECONOMY_FIRS1_FIRS          :FIRS 1 FIRS
STR_ECONOMY_FIRS1_TEMPERATE     :FIRS 1 Temperate
STR_ECONOMY_FIRS1_ARCTIC        :FIRS 1 Arctic
STR_ECONOMY_FIRS1_TROPIC        :FIRS 1 Tropic
STR_ECONOMY_FIRS1_HOD           :FIRS 1 Hearth Of Darkness
STR_ECONOMY_ECS                 :ECS
STR_ECONOMY_FIRS2_TEMPERATE     :FIRS 1 Temperate
STR_ECONOMY_FIRS2_ARCTIC        :FIRS 1 Arctic
STR_ECONOMY_FIRS2_TROPIC        :FIRS 1 Tropic
STR_ECONOMY_FIRS2_IAHC          :FIRS 1 In A Hot Country
STR_ECONOMY_FIRS2_HOD           :FIRS 1 Hearth Of Darkness
STR_ECONOMY_YETI                :YETI
STR_ECONOMY_FIRS3_TEMPERATE     :FIRS 3 温带
STR_ECONOMY_FIRS3_ARCTIC        :FIRS 3 寒带
STR_ECONOMY_FIRS3_TROPIC        :FIRS 3 热带
STR_ECONOMY_FIRS3_STEELTOWN     :FIRS 3 钢铁城
STR_ECONOMY_FIRS3_IAHC          :FIRS 3 进阶级
STR_ECONOMY_FIRS3_EXTREME       :FIRS 3 专家级
STR_ECONOMY_NAIS_NA             :NAIS North America
STR_ECONOMY_ITI                 :ITI 改进城镇工业
STR_ECONOMY_FIRS4_TEMPERATE     :FIRS 4 温带
STR_ECONOMY_FIRS4_ARCTIC        :FIRS 4 寒带
STR_ECONOMY_FIRS4_TROPIC        :FIRS 4 热带
STR_ECONOMY_FIRS4_STEELTOWN     :FIRS 4 钢铁城
STR_ECONOMY_FIRS4_IAHC          :FIRS 4 进阶级
STR_ECONOMY_FIRS5_TEMPERATE     :FIRS 5 温带
STR_ECONOMY_FIRS5_ARCTIC        :FIRS 5 寒带
STR_ECONOMY_FIRS5_TROPIC        :FIRS 5 热带
STR_ECONOMY_FIRS5_STEELTOWN     :FIRS 5 钢铁城
STR_ECONOMY_FIRS5_IAHC          :FIRS 5 热带国度
STR_ECONOMY_XIS_LOT             :XIS The Lot
STR_ECONOMY_AXIS_STEELTOWN      :AXIS 钢铁城
STR_ECONOMY_AXIS_TROPICAL       :AXIS 热带天堂
STR_ECONOMY_OTIS                :OTIS
STR_ECONOMY_IOTC                :IOTC 加勒比海工业
STR_ECONOMY_LUMBERJACK          :Lumberjack Industries
STR_ECOMONY_WRBI                :Wannaroo Basic Industries
STR_ECONOMY_ITI2                :ITI 改进城镇工业
STR_ECONOMY_REAL                :Real Industries
STR_ECONOMY_MINIMALIST          :Minimalist Industries
STR_ECONOMY_PIRS                :Pikka's Industries Redux Set (PIRS 2022)

##### ETERNAL LOVE #####
STR_ETERNAL_LOVE_OUTSTANDING    :完美
STR_ETERNAL_LOVE_GOOD           :较好
STR_ETERNAL_LOVE_POOR           :较差
