##### TOWN SIGN #####
STR_TOWNSIGN_GROWTHRATE  :成長：毎{NUM}日
STR_SB_WELCOME_ETERNAL_LOVE         :{SILVER}Eternal Love{BLACK}ですべての街での{ORANGE}会社の評価{BLACK}を毎月、最低{SILVER}{STRING}{BLACK}に変更します。
STR_SB_WELCOME_END                  :どうぞお楽しみください。

##### CUSTOM STORY BOOK #####
STR_SB_CUSTOM_WELCOME       :サーバーのルールは{ORANGE} {STRING} ゲーム背景ページ{BLACK}を参照ください。
STR_SB_CUSTOM_TITLE         :サーバーのルール

##### GOAL #####
STR_STATISTICS_GROWTH_POINTS    :{STRING}{COMPANY}{BLACK}の成長ポイント{ORANGE}
STR_STATISTICS_BIGGEST_TOWN     :{BLACK}最大の街人口 {SILVER}{TOWN}{ORANGE}
STR_STATISTICS_GROWTH_TOWN      :{BLACK}最速成長（日）{SILVER}{TOWN}{ORANGE}
STR_STATISTICS_AVERAGE_CATEGORY :{BLACK}平均カテゴリー{ORANGE}
STR_STATISTICS_NUM_TOWNS        :{BLACK}貢献した街数{ORANGE}
STR_STATISTICS_NOT_GROWING      :{BLACK}成長しない街数{ORANGE}

##### TOWNBOX #####
STR_TOWNBOX_CONTRIBUTOR         :最大人口 {SILVER}{NUM}{BLACK}{} * {SILVER}{COMPANY}{BLACK}
STR_TOWNBOX_NO_CONTRIBUTOR      :最大人口 {SILVER}{NUM}{BLACK}{STRING}

STR_TOWNBOX_CATEGORY            :輸送: 供給 / 需要{STRING}
STR_TOWNBOX_CATEGORY_STOP       :輸出不足:{} * {RED}{CARGO_LIST}{BLACK}{}輸送: 供給 / 需要
STR_TOWNBOX_CATEGORY_LOW        :輸送不足:{} * {SILVER}{CARGO_LIST}{BLACK}{}輸送: 供給 / 需要
STR_TOWNBOX_CATEGORY_DELAYED    :輸出不足:{} * {GOLD}{CARGO_LIST}{BLACK}{}輸送: 供給 / 需要
STR_TOWNBOX_CARGO               :貨物カテゴリー：{STRING}
STR_TOWNBOX_CARGO_STOP          :輸送不足:{} * {RED}{CARGO_LIST}{BLACK}{}貨物カテゴリー:
STR_TOWNBOX_CARGO_LOW           :輸送不足:{} * {SILVER}{CARGO_LIST}{BLACK}{}貨物カテゴリー:
STR_TOWNBOX_CARGO_DELAYED       :輸送不足:{} * {GOLD}{CARGO_LIST}{BLACK}{}貨物カテゴリー:
STR_TOWNBOX_NOGROWTH            :街の成長に {SILVER}{CARGO_LIST}{BLACK} の輸送が必要です。

##### ECONOMIES #####
STR_ECONOMY_BASESET_TEMPERATE   :ベース温帯
STR_ECONOMY_BASESET_ARCTIC      :ベース亜寒帯
STR_ECONOMY_BASESET_TROPICAL    :ベース亜熱帯
STR_ECONOMY_BASESET_TOYLAND     :ベースおもちゃの国

##### ETERNAL LOVE #####
STR_ETERNAL_LOVE_OUTSTANDING    :最高
STR_ETERNAL_LOVE_GOOD           :良い
STR_ETERNAL_LOVE_POOR           :悪い
